"","GEOID","r_stat"
"961","06073020801","Neither"
"962","06073019001","Neither"
"963","06001451102","Neither"
"964","06001432800","Neither"
"965","06001438000","Neither"
"966","06001451201","Neither"
"967","06001451202","Neither"
"968","06115040500","Neither"
"969","06115040600","Neither"
"970","06029004601","Neither"
"971","06029005103","Neither"
"972","06101050101","Neither"
"973","06111005002","Neither"
"974","06029000102","Neither"
"975","06073020706","Neither"
"976","06041106001","Neither"
"977","06111005202","Neither"
"978","06073013506","Neither"
"979","06073013604","Neither"
"980","06099002402","Neither"
"981","06037910809","Neither"
"982","06079012302","Neither"
"983","06019006405","Neither"
"984","06019005912","Neither"
"985","06001450701","Neither"
"986","06001450601","Neither"
"987","06017030804","Neither"
"988","06017030709","Neither"
"989","06017030807","Neither"
"990","06111005901","Neither"
"991","06001451300","Neither"
"992","06001451401","Neither"
"993","06041101200","Neither"
"994","06041117000","Neither"
"995","06041110100","Neither"
"996","06041133000","Neither"
"997","06041114100","Neither"
"998","06041124200","Neither"
"999","06041114200","Neither"
"1000","06041128100","Neither"
"1001","06041121200","Neither"
"1002","06073021302","Neither"
"1003","06085513500","Neither"
"1004","06041110200","Neither"
"1005","06073018803","Neither"
"1006","06073019203","Neither"
"1007","06073017106","Neither"
"1008","06073016902","Neither"
"1009","06073017010","Neither"
"1010","06073016811","Neither"
"1011","06073018700","Neither"
"1012","06073020405","Neither"
"1013","06001435102","Neither"
"1014","06073018801","Neither"
"1015","06041103100","Neither"
"1016","06041124100","Neither"
"1017","06037920020","Neither"
"1018","06037910706","Neither"
"1019","06037910804","Neither"
"1020","06085512505","Neither"
"1021","06041104300","Neither"
"1022","06041107000","Neither"
"1023","06041118100","Neither"
"1024","06041127000","Neither"
"1025","06041116000","Neither"
"1026","06041104200","Neither"
"1027","06037400501","Neither"
"1028","06037460401","Neither"
"1029","06037910002","Neither"
"1030","06073013903","Neither"
"1031","06073016809","Neither"
"1032","06073016901","Neither"
"1033","06073017049","Neither"
"1034","06041122000","Neither"
"1035","06041128200","Neither"
"1036","06041123000","Neither"
"1037","06041115000","Neither"
"1038","06041103200","Neither"
"1039","06041101100","Neither"
"1040","06041119100","Neither"
"1041","06001440100","Neither"
"1042","06001451601","Neither"
"1043","06041126100","Neither"
"1044","06073015406","Neither"
"1045","06073015501","Neither"
"1046","06073019208","Neither"
"1047","06073020807","Neither"
"1048","06073020710","Neither"
"1049","06065042728","Neither"
"1050","06073009400","Neither"
"1051","06073020105","Neither"
"1052","06073008312","Neither"
"1053","06115040901","Neither"
"1054","06115040100","Neither"
"1055","06115040400","Neither"
"1056","06073018903","Neither"
"1057","06073018905","Neither"
"1058","06073018906","Neither"
"1059","06073019105","Neither"
"1060","06073020401","Neither"
"1061","06041129000","Neither"
"1062","06041102100","Neither"
"1063","06041106002","Neither"
"1064","06073017020","Neither"
"1065","06013355123","Neither"
